0,Time,AAPL,MSFT,TSLA,AMZN
0,"07/08/2021, 20:58:37",142.23,276.7,638.7,3655.61
0,"07/08/2021, 21:02:46",142.04,276.22,637.81,3662.13
0,"07/08/2021, 21:11:02",142.29,276.6,640.81,3667.46
0,"07/08/2021, 21:15:32",142.46,277.01,640.98,3674.75
